"node","lagoon","station","season","date_time","water_column_position","dissolved_organic_carbon_umol_L","total_dissolved_nitrogen_umol_L","chlorophyll_a_ug_L","conductivity_uS_cm","depth_m","DO_concentration_mg_L","DO_saturation_percent","phycoerythrin_ug_L","pH","salinity","specific_conductivity_uS_cm","temperature_C","notes.x","d18O","notes.y","collection_method","station_name","latitude","longitude","habitat_type","station_sampling_priority"
"Central","Simpson","KUR1","break up",2019-06-29,"surface",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.4,NA,NA,"Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","break up",2019-06-30,"surface",NA,NA,1.32,97.8,NA,12.12,101.7,3.58,8.28,0.07,146.3,7.7,NA,NA,NA,NA,"Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","open water",2019-08-05,"surface",402,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.3,NA,"pump","Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","open water",2019-08-06,"surface",NA,NA,0.51,138.7,NA,11.33,105.1,2.45,8.76,0.09,184.8,11.9,NA,NA,NA,NA,"Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","break up",2021-06-25,"surface",438,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,NA,"pump","Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","open water",2021-08-03,"surface",494,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,NA,"pump","Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","break up",2022-06-25,"surface",482,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2,NA,"pump","Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","KUR1","open water",2022-08-06,"surface",628,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.3,NA,"pump","Kuparuk River Station 1",70.3261,-148.9502,"river","river"
"Central","Simpson","SIL Trans A","under ice",2021-04-23,"bottom",188,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.5,NA,"pump","Simpson Transect A",70.530769,-149.761578,"lagoon","not applicable"
"Central","Simpson","SIL Trans A","under ice",2021-04-23,"surface",106,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,NA,"pump","Simpson Transect A",70.530769,-149.761578,"lagoon","not applicable"
"Central","Simpson","SIL Trans B","under ice",2021-04-23,"bottom",147,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,NA,"pump","Simpson Transect B",70.523085,-149.761289,"lagoon","not applicable"
"Central","Simpson","SIL Trans B","under ice",2021-04-23,"surface",118,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,NA,"pump","Simpson Transect B",70.523085,-149.761289,"lagoon","not applicable"
"Central","Simpson","SILD1","open water",2018-07-26,"bottom",303,11,10.54,9281,2.5,10.56,98,17.52,7.84,7.55,12999,9.9,NA,NA,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2018-07-26,"surface",339,14,2.88,3546,0.5,10.83,101.2,6.9,8.11,2.57,4767,11.6,NA,NA,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2018-07-29,"bottom",NA,NA,2.58,25266,2.3,11.23,95.6,8.27,7.69,29.57,47546,0.6,NA,NA,NA,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2018-07-29,"surface",NA,NA,2.7,17599,0,11.51,103.1,7.25,7.83,16.91,27733,5.9,NA,NA,NA,NA,"Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice",2019-04-21,"bottom",156,18,0.3,30464,1.94,9.21,78.4,4.56,7.27,39.89,63599,-2.3,NA,-4.2,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice",2019-04-21,"surface",182,19,0.3,29718,1.5,9.57,80.8,4.17,7.29,38.69,61877,-2.2,NA,-4.1,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
