node,lagoon,station,season,date_collected,pigment,areal_concentration_mg_m2,mass_concentration_ug_g,flag,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,SILD1,open water,2018-07-26,Fucoxanthin,40.9491584312322,0.727836639413677,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Alloxanthin,0.667909366522396,0.0118715237964892,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Zeaxanthin,0.602687873301267,0.0107122669457452,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Pheophytin,26.75510495185,0.47554935000721,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Chlorophyllide,1.56517439468447,0.0278196503949301,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Pheophorbide,5.26651136078807,0.0936077828487524,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Chlorophyll a,81.7652433676898,1.45330801006623,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,Peridinin,0.28879098874073,0.00513301544623909,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Chlorophyllide,2.97908006020572,0.0448103477183199,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Pheophorbide,10.5289600732871,0.158373173080727,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Chlorophyll a,45.1348320926011,0.678903379366641,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Pheophytin,14.1373123275967,0.212648827288769,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Peridinin,0.597029304970414,0.00898031949900121,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Fucoxanthin,21.8665074302837,0.328908851569627,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Alloxanthin,0.544419261404262,0.00818897643401743,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,Zeaxanthin,1.16041109894393,0.0174545241447068,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Alloxanthin,0.103859084724238,0.00216971938984601,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Zeaxanthin,0.124328375941876,0.00259734320503018,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Fucoxanthin,6.41240197271552,0.13396144335981,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Pheophytin,2.32097323959516,0.0484874352073709,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Peridinin,0.152010188729233,0.00317564375630395,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Chlorophyllide,0.493284564553349,0.0103052042800582,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Pheophorbide,3.34876286936758,0.0699589809495745,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,Chlorophyll a,11.3107936848786,0.236293709286865,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Pheophytin,16.8758620384989,0.408102769268121,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Alloxanthin,1.04097687934027,0.0251735612814147,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Zeaxanthin,1.02235346125683,0.0247231980065933,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Peridinin,0.247128791630669,0.00597622474041814,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Fucoxanthin,57.3472486079392,1.38680743617226,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Chlorophyllide,7.87840848380032,0.190520656801385,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Pheophorbide,14.3577057377784,0.347207120949264,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,Chlorophyll a,98.698558824224,2.38679097322848,OK,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Pheophorbide,12.8997279669413,0.341153703986096,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Chlorophyll a,87.6745234739398,2.31869141000519,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Pheophytin,98.3951800680041,2.60221612584423,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Chlorophyllide,2.93471760527854,0.0776132476405529,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Fucoxanthin,12.7335239201282,0.336758175155326,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Alloxanthin,2.26993509010892,0.0600320228289505,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Zeaxanthin,10.8122198540648,0.28594625103562,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,break up,2019-06-28,Peridinin,0.272445155787389,0.00720524295304001,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Chlorophyllide,12.5003664461068,0.143098078695402,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Pheophorbide,17.8055429742217,0.203829143787468,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Chlorophyll a,167.064514410033,1.91247281696303,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Pheophytin,26.7309562069045,0.306002907305992,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Peridinin,0.389662001385908,0.00446065993179701,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Fucoxanthin,69.6154474427559,0.79692357976287,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Alloxanthin,0.651769126478728,0.00746113405188486,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,Zeaxanthin,1.31468720580072,0.0150498958607811,OK,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Stefansson,STLD1,under ice,2019-04-20,Fucoxanthin,4.84101892861823,0.0752363114809773,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,under ice,2019-04-20,Alloxanthin,0.0361053854326349,5.6112898226692e-4,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,under ice,2019-04-20,Zeaxanthin,0.0420986620319019,6.5427301488957e-4,OK,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
