node,lagoon,station,season,date_collected,water_column_position,chlorophyll_a_ug_L,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,KUR1,break up,2019-06-29,surface,0.27,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,KUR1,open water,2019-08-05,surface,0.68,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,SILD1,open water,2018-07-26,bottom,4.62,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,surface,1.98,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,bottom,0.15,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,surface,0.09,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,bottom,0.34,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,surface,1.43,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,bottom,1.59,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,surface,1.05,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,bottom,0.89,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILD2,open water,2019-08-05,surface,1.2,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-29,surface,4.8,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,surface,0.88,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,surface,1.73,pump,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
Central,Stefansson,SAR1,break up,2019-06-27,surface,0.13,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
Central,Stefansson,SAR1,open water,2019-08-03,surface,0.13,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
Central,Stefansson,STLD1,under ice,2019-04-20,bottom,0.1,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,under ice,2019-04-20,surface,0.28,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-27,bottom,0.44,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-27,surface,0.52,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,open water,2019-08-03,surface,0.77,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD2,under ice,2019-04-19,bottom,0.12,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,under ice,2019-04-19,surface,0.11,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03,bottom,0.6,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03,surface,0.77,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLS1,break up,2019-06-27,surface,0.46,pump,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,surface,1.11,pump,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS2,break up,2019-06-28,surface,0.28,pump,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
Central,Stefansson,STLS2,open water,2019-08-03,surface,2.03,pump,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02,bottom,2.76,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02,surface,1.78,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,bottom,1.06,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,surface,1.36,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD2,open water,2018-08-01,bottom,1.88,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-01,surface,0.98,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,bottom,0.07,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
