node,lagoon,station,season,date_collected,ammonia_umol_N_L,phosphate_umol_P_L,silicate_umol_SiO2_L,nitrate_nitrite_umol_N_L,flag_NH3,flag_PO4,flag_SiO2,flag_NO23,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,SILD1,open water,2018-07-26,80.3,NA,NA,NA,VALID,NS,NS,BD,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,141.6,5.7,77.9,3.6,VALID,VALID,VALID,VALID,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,323.2,28.9,43.5,NA,VALID,VALID,VALID,BD,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,292.6,12.9,225.8,0,VALID,VALID,VALID,BD,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,174,10.9,157.5,0,VALID,VALID,VALID,BD,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-28,NA,15.7,104,10,NS,VALID,VALID,VALID,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,153.2,16.5,92.6,0.7,VALID,VALID,VALID,BD,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,45.1,31.5,11.6,2.1,VALID,VALID,VALID,VALID,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
Central,Stefansson,STLD1,break up,2019-06-26,165.6,5.9,52.4,7.1,VALID,VALID,VALID,VALID,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD2,open water,2019-08-02,513.4,4.8,307.2,NA,VALID,VALID,VALID,BD,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLS1,break up,2019-06-26,358.6,60.6,137.7,NA,VALID,VALID,VALID,BD,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
