node,lagoon,station,season,date_collected,water_column_position,ammonia_umol_N_L,phosphate_umol_P_L,silicate_umol_SiO2_L,nitrate_nitrite_umol_N_L,flag_NH3,flag_PO4,flag_SiO2,flag_NO23,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,KUR1,break up,2019-06-29,surface,0,NA,13.8,NA,BD,BD,VALID,BD,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,KUR1,open water,2019-08-05,surface,0.1,NA,31.8,2.9,VALID,BD,VALID,VALID,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,SILD1,open water,2018-07-26,bottom,0,0.2,NA,1.4,VALID,VALID,NS,VALID,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,surface,NA,NA,NA,1.4,NS,NS,NS,VALID,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,bottom,6.6,5.3,23.4,6.4,VALID,VALID,VALID,VALID,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,surface,1.4,3.9,15.9,4.3,VALID,VALID,VALID,VALID,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,bottom,0.6,0.8,5.5,0.7,VALID,VALID,VALID,BD,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,surface,0.7,0.3,3.7,0,VALID,VALID,VALID,BD,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,bottom,0.8,0.8,5.5,0.7,VALID,VALID,VALID,BD,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,surface,1.1,0.7,8.2,0,VALID,VALID,VALID,BD,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,bottom,0.8,1,5,NA,VALID,VALID,VALID,BD,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILD2,open water,2019-08-05,surface,0.9,1.2,5,1.4,VALID,VALID,VALID,VALID,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-29,surface,NA,1.8,2.2,10,HIGH,VALID,VALID,VALID,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,surface,0.7,0.1,17.5,1.4,VALID,BD,VALID,BD,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,surface,0.6,0.1,5,0,VALID,BD,VALID,BD,pump,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
Central,Stefansson,SAR1,break up,2019-06-27,surface,NA,NA,19.7,1.4,BD,BD,VALID,BD,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
Central,Stefansson,SAR1,open water,2019-08-03,surface,0,NA,32.1,6.4,BD,BD,VALID,VALID,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
