node,lagoon,station,season,date_collected,d13C,C_percent,d15N,N_percent,C_N_molar_ratio,flag_C,flag_N,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,SILD1,open water,2018-07-26,-25.6,0.66,3.5,0.06,11.8,VALID,VALID,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,-26.5,1.35,3,0.11,14.3,VALID,VALID,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-29,-26.6,1.68,2.9,0.12,16.3,VALID,VALID,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,-26.3,0.61,3,0.05,14.2,VALID,VALID,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,-26.7,1.36,2.3,0.11,14.4,VALID,VALID,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-28,-26.9,4.42,2.1,0.31,16.6,VALID,VALID,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,-26.3,0.67,3.8,0.05,15.6,VALID,VALID,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,-25.5,0.17,3.2,0.02,9.9,VALID,VALID,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
Central,Stefansson,STLD1,under ice,2019-04-20,-25.8,0.2,2.7,0.02,11.7,VALID,VALID,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-26,-26.3,0.46,3,0.05,10.7,VALID,VALID,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD2,under ice,2019-04-19,-26.1,0.15,2.4,0.02,11.7,VALID,VALID,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03,-26.4,1.74,3.1,0.14,14.5,VALID,VALID,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLS1,break up,2019-06-26,-25.8,0.67,2.8,0.05,15.6,VALID,VALID,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,-26.1,0.72,3.2,0.06,14,VALID,VALID,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS2,break up,2019-06-27,-26.4,0.6,2.7,0.06,11.7,VALID,VALID,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
Central,Stefansson,STLS2,open water,2019-08-03,-26.4,0.55,2.6,0.05,12.8,VALID,VALID,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
East,Jago,JALD1,open water,2018-08-01,-25.7,1.49,3.5,0.15,11.6,VALID,VALID,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,-26,1.54,2.9,0.14,12.8,VALID,VALID,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD2,open water,2018-08-02,-25.6,1.66,3.3,0.16,12.1,VALID,VALID,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,-25.8,1.31,3.3,0.15,10.5,VALID,VALID,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-20,-26,1.5,3,0.14,12.5,VALID,VALID,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,-26.1,1.55,3.8,0.15,12.1,VALID,VALID,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALS1,open water,2018-08-01,-26.3,2.1,2.1,0.22,11.1,VALID,VALID,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS1,open water,2019-08-08,-25.5,0.31,3.9,0.04,9,VALID,VALID,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS2,open water,2018-08-02,-24.1,0.2,3.5,0.03,7.8,VALID,VALID,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-22,-27,2.8,1.7,0.22,14.8,VALID,VALID,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
