node,lagoon,station,season,date_collected,water_column_position,dissolved_organic_carbon_umol_L,total_dissolved_nitrogen_umol_L,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
West,Elson East,AVR1,open water,2018-07-26,surface,527,26,pump,Avak Creek Station 1,71.14711,-156.19139,river,river
West,Elson East,AVR1,open water,2019-08-05,surface,888,36,pump,Avak Creek Station 1,71.14711,-156.19139,river,river
East,not applicable,Beaufort2018,open water,2018-08-04,surface,179,11,pump,"Beaufort Sea, sampling site 2018",70.13337,-143.70329,ocean,ocean
East,not applicable,Beaufort2019,open water,2019-08-05,surface,99,6,pump,"Beaufort Sea, sampling site 2019",70.44325,-148.739283,ocean,ocean
West,Elson East,EELD1,under ice,2019-04-16,surface,182,21,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,under ice,2019-04-16,bottom,208,20,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,surface,159,8,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,bottom,242,12,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD2,open water,2019-07-31,surface,125,14,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-07-31,bottom,78,7,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELS1,open water,2019-07-31,surface,166,11,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS1,break up,2019-06-22,surface,365,15,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS2,open water,2019-07-31,surface,166,12,pump,Elson East Lagoon Shallow Station 2,71.24097,-156.09151,lagoon,secondary
West,Elson West,EWLD1,open water,2018-07-28,surface,116,8,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-28,bottom,125,8,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,surface,140,18,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,bottom,212,21,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,surface,104,8,grab,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,bottom,78,7,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,surface,180,7,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,bottom,452,33,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,surface,165,7,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,bottom,385,15,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD2,under ice,2019-04-15,surface,170,18,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,under ice,2019-04-15,bottom,305,25,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,surface,160,10,grab,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,bottom,74,6,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLS1,open water,2018-07-28,surface,111,10,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,open water,2019-08-05,surface,186,10,grab,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,break up,2019-06-25,surface,119,7,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS2,open water,2019-08-05,surface,119,10,grab,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,EWLS2,break up,2019-06-22,surface,450,16,pump,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
