node,lagoon,station,season,date_time,water_column_position,chlorophyll_a_ug_L,conductivity_uS_cm,depth_m,DO_concentration_mg_L,DO_saturation_percent,phycoerythrin_ug_L,pH,salinity,specific_conductivity_uS_cm,temperature_C,notes,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,KUR1,break up,2019-06-30T01:00:00Z,surface,1.32,97.8,NA,12.12,101.7,3.58,8.28,0.07,146.3,7.7,NA,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,KUR1,open water,2019-08-06T00:12:00Z,surface,0.51,138.7,NA,11.33,105.1,2.45,8.76,0.09,184.8,11.9,NA,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,SILD1,open water,2018-07-26T23:01:00Z,bottom,10.54,9281,2.5,10.56,98,17.52,7.84,7.55,12999,9.9,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26T23:01:00Z,surface,2.88,3546,0.5,10.83,101.2,6.9,8.11,2.57,4767,11.6,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-29T05:39:00Z,bottom,2.58,25266,2.3,11.23,95.6,8.27,7.69,29.57,47546,0.6,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-29T05:39:00Z,surface,2.7,17599,0,11.51,103.1,7.25,7.83,16.91,27733,5.9,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21T20:21:00Z,bottom,0.3,30464,1.94,9.21,78.4,4.56,7.27,39.89,63599,-2.3,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21T20:21:00Z,surface,0.3,29718,1.5,9.57,80.8,4.17,7.29,38.69,61877,-2.2,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-07-01T04:42:00Z,surface,2.8,7237,0.5,13.11,103.5,8.96,7.79,6.92,12261,3.5,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-07-01T05:27:00Z,bottom,0.6,23100,2.35,12.08,99.3,4.49,7.72,27.55,45361,-0.4,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05T20:05:00Z,bottom,2.3,25741,2,10.25,99,6.6,7.93,24.82,39417,6.8,NA,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
