node,lagoon,station,season,date_collected,water_column_position,d18O,notes,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,KUR1,break up,2019-06-29,surface,-17.4,NA,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,KUR1,open water,2019-08-05,surface,-17.3,NA,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,SILD1,under ice,2019-04-21,bottom,-4.2,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,surface,-4.1,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,surface,-4,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,bottom,-4.1,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,surface,-10.9,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,bottom,-5.9,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,surface,-7.4,NA,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,bottom,-5.5,NA,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILD2,open water,2019-08-05,surface,-5.5,NA,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-29,surface,-10.5,NA,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,surface,-10.3,NA,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,surface,-6.3,NA,pump,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
